"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","deleteUserTest()","","Thu Jun 12 09:27:35 UTC 2025","passed","Thu Jun 12 09:27:35 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","deleteUserTest"
"","255","registerUserTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","registerUserTest"
"","222","getSingleUserNotFoundTest()","","Thu Jun 12 09:27:30 UTC 2025","passed","Thu Jun 12 09:27:30 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getSingleUserNotFoundTest"
"","2","test2()","","Thu Jun 12 09:27:29 UTC 2025","passed","Thu Jun 12 09:27:29 UTC 2025","","uitests.Tests","uitests.Tests","test2"
"","62","getSingleResourcesNotFoundTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getSingleResourcesNotFoundTest"
"","203","Обновление пользователя","","Thu Jun 12 09:27:35 UTC 2025","passed","Thu Jun 12 09:27:35 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","upDateUserPutTest"
"","220","createUserTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","createUserTest"
"","1","test1()","","Thu Jun 12 09:27:29 UTC 2025","passed","Thu Jun 12 09:27:29 UTC 2025","","uitests.Tests","uitests.Tests","test1"
"","51","test()","","Thu Jun 12 09:27:28 UTC 2025","passed","Thu Jun 12 09:27:29 UTC 2025","","uitests.Tests","uitests.Tests","test"
"","210","loginSuccessfulUserTest()","","Thu Jun 12 09:27:30 UTC 2025","passed","Thu Jun 12 09:27:30 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","loginSuccessfulUserTest"
"","13","test4()","","Thu Jun 12 09:27:29 UTC 2025","failed","Thu Jun 12 09:27:29 UTC 2025","","uitests.Tests","uitests.Tests","test4"
"","508","getAllUsersTest()","","Thu Jun 12 09:27:29 UTC 2025","passed","Thu Jun 12 09:27:30 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getAllUsersTest"
"","2","test3()","","Thu Jun 12 09:27:29 UTC 2025","passed","Thu Jun 12 09:27:29 UTC 2025","","uitests.Tests","uitests.Tests","test3"
"","2554","loginUnSuccessfulUserTest()","","Thu Jun 12 09:27:27 UTC 2025","passed","Thu Jun 12 09:27:29 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","loginUnSuccessfulUserTest"
"","73","getSingleResourceTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getSingleResourceTest"
"","3217","getDelayedResponseTest()","","Thu Jun 12 09:27:30 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getDelayedResponseTest"
"","65","getSingleUserTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getSingleUserTest"
"","201","upDateUserPatchTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:35 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","upDateUserPatchTest"
"","104","getListResourcesTest()","","Thu Jun 12 09:27:34 UTC 2025","passed","Thu Jun 12 09:27:34 UTC 2025","","apitests.ReqresInTests","apitests.ReqresInTests","getListResourcesTest"
